Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
14,P1071,Emergency_Replacement,1.0,6.0,1.0,0.0,23593.422408000002,29.49177801,6.0,CI,HDPE,0
14,P987,Emergency_Replacement,1.0,6.0,1.0,0.0,12725.706791999999,15.90713349,6.0,CI,HDPE,0
15,P1225,CIP_Replacement,1.0143155846607945,6.0,1.0143155846607945,3575.332394041475,224926.08998400002,234.2980104,8.0,AC,HDPE,0
15,P1197,Emergency_Replacement,1.0,6.0,1.0,0.0,256223.21287999998,320.2790161,8.0,AC,HDPE,0
15,P1159,Break_Event,1.097620349769021,1.0,1.097620349769021,0.0,5000.0,30.94692077,6.0,AC,,1
15,P1159,Emergency_Replacement,1.0,6.0,1.0,0.0,24757.536615999998,30.94692077,6.0,AC,HDPE,0
15,P1191,Break_Event,5.89414944919606,5.594149449196061,5.89414944919606,0.0,5000.0,285.3592397,10.0,HDPE,,1
15,P1201,Break_Event,4.548044797943554,4.248044797943554,4.548044797943554,0.0,5000.0,599.2737497,8.0,HDPE,,1
15,P1391,Break_Event,2.9239249818255884,2.6239249818255885,2.9239249818255884,0.0,5000.0,889.7215058,6.0,DI,,1
15,P1515,Break_Event,1.287658076517763,1.0,1.287658076517763,0.0,5000.0,2548.44656,6.0,DI,,1
15,P1515,Emergency_Replacement,1.0,6.0,1.0,0.0,2038757.248,2548.44656,6.0,DI,HDPE,0
16,P1223,Break_Event,5.760810356139807,5.460810356139807,5.760810356139807,0.0,5000.0,549.3484708,8.0,HDPE,,1
16,P1097,CIP_Replacement,1.0028829806677542,6.0,1.0028829806677542,1527.0591249111362,48832.571721600005,67.82301628,6.0,AC,HDPE,0
16,P1143,Emergency_Replacement,1.0,6.0,1.0,0.0,14989.998608,18.73749826,6.0,CI,HDPE,0
