Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
5,P981,Emergency_Replacement,1.0,6.0,1.0,0.0,23291.770303999998,29.11471288,2.0,GI,HDPE,0
6,P1537,Break_Event,4.742419845719147,4.442419845719147,4.742419845719147,0.0,5000.0,439.0536021,2.0,PVC,,1
6,P1527,Break_Event,3.0040390705416975,2.7040390705416977,3.0040390705416975,0.0,5000.0,1513.802818,6.0,DI,,1
6,P1517,Break_Event,2.593909856907869,2.2939098569078693,2.593909856907869,0.0,5000.0,4148.842081,6.0,DI,,1
6,P1487,Break_Event,2.317996877608155,2.017996877608155,2.317996877608155,0.0,5000.0,630.8574088,6.0,DI,,1
6,P1337,Break_Event,4.520898075836513,4.220898075836513,4.520898075836513,0.0,5000.0,920.0333158,6.0,DI,,1
6,P1187,Emergency_Replacement,1.0,6.0,1.0,0.0,558038.11712,697.5476464,10.0,AC,HDPE,0
6,P1187,Break_Event,1.2070235869305346,1.0,1.2070235869305346,0.0,5000.0,697.5476464,10.0,AC,,1
6,P1183,Emergency_Replacement,1.0,6.0,1.0,0.0,440890.57776,551.1132222,10.0,AC,HDPE,0
6,P1183,Break_Event,1.211328239161403,1.0,1.211328239161403,0.0,5000.0,551.1132222,10.0,AC,,1
6,P1173,Break_Event,1.957410139154717,1.657410139154717,1.957410139154717,0.0,5000.0,81.93880003,10.0,AC,,1
6,P953,Break_Event,3.0470919146836852,2.7470919146836854,3.0470919146836852,0.0,5000.0,473.2761407,6.0,DI,,1
6,P1291,Emergency_Replacement,1.0,6.0,1.0,0.0,27838.328632000004,34.79791079,1.5,GI,HDPE,0
7,P1549,Break_Event,2.769099109649133,2.4690991096491333,2.769099109649133,0.0,5000.0,207.2291682,2.0,GI,,1
7,P1543,Break_Event,5.732493506997661,5.432493506997661,5.732493506997661,0.0,5000.0,433.9023649,2.0,HDPE,,1
7,P1535,Break_Event,4.458319703608938,4.158319703608938,4.458319703608938,0.0,5000.0,5347.609294,6.0,DI,,1
7,P1505,Break_Event,4.366022847190714,4.066022847190714,4.366022847190714,0.0,5000.0,579.1829317,6.0,DI,,1
7,P1411,Break_Event,4.264113625733284,3.964113625733284,4.264113625733284,0.0,5000.0,563.6466089,6.0,DI,,1
7,P1209,Emergency_Replacement,1.0,6.0,1.0,0.0,259756.07095999998,324.6950887,6.0,AC,HDPE,0
7,P1209,Break_Event,1.1825033088315815,1.0,1.1825033088315815,0.0,5000.0,324.6950887,6.0,AC,,1
7,P1141,Emergency_Replacement,1.0,6.0,1.0,0.0,34856.521792,43.57065224,6.0,CI,HDPE,0
7,P837,Break_Event,1.9163062203046917,1.6163062203046916,1.9163062203046917,0.0,5000.0,66.74455036,6.0,DI,,1
7,P1289,Emergency_Replacement,1.0,6.0,1.0,0.0,33981.931616,42.47741452,3.0,GI,HDPE,0
7,P1279,Emergency_Replacement,1.0,6.0,1.0,0.0,365358.69992,456.6983749,2.0,GI,HDPE,0
7,P1239,Emergency_Replacement,1.0,6.0,1.0,0.0,214944.76768,268.6809596,6.0,AC,HDPE,0
7,P1233,Emergency_Replacement,1.0,6.0,1.0,0.0,17376.615792,21.72076974,6.0,AC,HDPE,0
7,P1193,Emergency_Replacement,1.0,6.0,1.0,0.0,321542.31071999995,401.9278884,10.0,AC,HDPE,0
